formName,varName,varDescription,answerCode,answerDescription,answerType
FULLSURVEY,SUBJAGE,Age in whole years of subject at the time of detection of novel coronavirus infection (SARS-CoV-2) or development of COVID-19 illness,,[Age in whole years of subject at the time of detection of novel coronavirus infection (SARS-CoV-2) or development of COVID-19 illness],Number Box (Integer)
FULLSURVEY,SEVERITY,Please indicate the most extreme level of illness that the patient has so far experienced from COVID-19 ,0, Asymptomatic: No signs or symptoms of COVID-19. Laboratory evidence only of SARS-CoV-2 infection ,radio
FULLSURVEY,SEVERITY,Please indicate the most extreme level of illness that the patient has so far experienced from COVID-19 ,1, Mild: no interventions,radio
FULLSURVEY,SEVERITY,Please indicate the most extreme level of illness that the patient has so far experienced from COVID-19 ,2, Moderate: some treatment or clinical action taken,radio
FULLSURVEY,SEVERITY,Please indicate the most extreme level of illness that the patient has so far experienced from COVID-19 ,3, Severe but not immediately life-threatening: hospitalization and treatments,radio
FULLSURVEY,SEVERITY,Please indicate the most extreme level of illness that the patient has so far experienced from COVID-19 ,4, Life-threatening consequences: intensive-care level or similar therapy has been required (CTCAE Grade 4) ,radio
FULLSURVEY,SEVERITY,Please indicate the most extreme level of illness that the patient has so far experienced from COVID-19 ,5, Death (CTCAE Grade 5)  ,radio
FULLSURVEY,DEATHDTC,Date of death,,[Date of death],Date Box
FULLSURVEY,OUTCOME,Please indicate the current outcome of illness related to COVID-19,1, Recovering or resolving ,radio
FULLSURVEY,OUTCOME,Please indicate the current outcome of illness related to COVID-19,2, Fully recovered or resolved ,radio
FULLSURVEY,OUTCOME,Please indicate the current outcome of illness related to COVID-19,3, Not yet recovering or resolving ,radio
FULLSURVEY,OUTCOME,Please indicate the current outcome of illness related to COVID-19,99, Unknown  ,radio
FULLSURVEY,RESOLUDT,Date of resolution of COVID-19 related symptoms,,[Date of resolution of COVID-19 related symptoms],Date Box
FULLSURVEY,PROBLM___1,Please indicate any problems or sequelae the subject experienced that may be related to COVID-19 illness,1, Minor or short-term disability or incapacity,checkbox
FULLSURVEY,PROBLM___ 2,Please indicate any problems or sequelae the subject experienced that may be related to COVID-19 illness,1, Prolonged hospitalization ,checkbox
FULLSURVEY,PROBLM___ 3,Please indicate any problems or sequelae the subject experienced that may be related to COVID-19 illness,1, Significant or persistent disability or incapacity ,checkbox
FULLSURVEY,PROBLM___ 4,Please indicate any problems or sequelae the subject experienced that may be related to COVID-19 illness,1, Congenital anomaly or birth defect ,checkbox
FULLSURVEY,PROBLM___ 98,Please indicate any problems or sequelae the subject experienced that may be related to COVID-19 illness,1, Other important problem,checkbox
FULLSURVEY,PROBLMSPY,Specify: Other problems or sequelae,,[Specify: Other problems or sequelae],text
FULLSURVEY,PREMEDSX,Were any medications that the patient takes for their rheumatic/autoimmune disease stopped or modified PRIOR TO recognized onset of SARS-CoV-2 infection orCOVID-19 illness?,1, Yes ,radio
FULLSURVEY,PREMEDSX,Were any medications that the patient takes for their rheumatic/autoimmune disease stopped or modified PRIOR TO recognized onset of SARS-CoV-2 infection orCOVID-19 illness?,0, No ,radio
FULLSURVEY,PREMEDSX,Were any medications that the patient takes for their rheumatic/autoimmune disease stopped or modified PRIOR TO recognized onset of SARS-CoV-2 infection orCOVID-19 illness?,99, Unknown  ,radio
FULLSURVEY,POMEDSX,Were any medications that the patient takes for their rheumatic/autoimmune disease stopped or modified AFTER recognized onset of SARS-CoV-2 infection or COVID-19 illness?,1, Yes ,radio
FULLSURVEY,POMEDSX,Were any medications that the patient takes for their rheumatic/autoimmune disease stopped or modified AFTER recognized onset of SARS-CoV-2 infection or COVID-19 illness?,0, No ,radio
FULLSURVEY,POMEDSX,Were any medications that the patient takes for their rheumatic/autoimmune disease stopped or modified AFTER recognized onset of SARS-CoV-2 infection or COVID-19 illness?,99, Unknown  ,radio
FULLSURVEY,COVID19_STATUS,COVID19_STATUS,,[COVID19_STATUS],calc
FULLSURVEY,SEVERITY_STATUS,SEVERITY_STATUS,,[SEVERITY_STATUS],calc
FULLSURVEY,CMPLCTNS_FLTR,"Did the patient experience any serious complications from COVID-19 illness, including secondary infections such as influenza, sepsis and other serious infections, major organ involvement (e.g. acute respiratory distress syndrome, myocarditis or cardiac involvement), Cytokine Release Syndrome/MAS, etc.",1, Yes ,radio
FULLSURVEY,CMPLCTNS_FLTR,"Did the patient experience any serious complications from COVID-19 illness, including secondary infections such as influenza, sepsis and other serious infections, major organ involvement (e.g. acute respiratory distress syndrome, myocarditis or cardiac involvement), Cytokine Release Syndrome/MAS, etc.",0, No ,radio
FULLSURVEY,CMPLCTNS_FLTR,"Did the patient experience any serious complications from COVID-19 illness, including secondary infections such as influenza, sepsis and other serious infections, major organ involvement (e.g. acute respiratory distress syndrome, myocarditis or cardiac involvement), Cytokine Release Syndrome/MAS, etc.",99, Unknown  ,radio
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,1, Acute respiratory distress syndrome (ARDS) ,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,2, Sepsis ,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,3, Influenza co-infection ,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,4, Other co-infection or secondary infection ,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,5, Myocarditis or heart failure ,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,6, Cytokine release syndrome,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,7, Hemolytic anemia ,select
FULLSURVEY,CMPLCTNS_DTL,Please indicate if the patient has had any significant complications of COVID-19 illness,98, Other significant complication  ,select
FULLSURVEY,COINFTON_SPY,Specify: other co-infection or secondary infection,,[Specify: other co-infection or secondary infection],notes
FULLSURVEY,CPLCNSPY,Specify other significant complication,,[Specify other significant complication],notes
FULLSURVEY,SEX,Sex of patient,1, Male ,radio
FULLSURVEY,SEX,Sex of patient,2, Female ,radio
FULLSURVEY,SEX,Sex of patient,98, Other  ,radio
FULLSURVEY,GENDERID,Gender identity of patient,MALE_GID, Male identity ,radio
FULLSURVEY,GENDERID,Gender identity of patient, FEMALE_GID, Female identity ,radio
FULLSURVEY,GENDERID,Gender identity of patient, TRANSMALE_GID, Trans Male/Trans Man ,radio
FULLSURVEY,GENDERID,Gender identity of patient, TRANSFEMALE_GID, Trans Female/Trans Woman ,radio
FULLSURVEY,GENDERID,Gender identity of patient, GENDERQUEER_GID, Genderqueer/Gender non-conforming ,radio
FULLSURVEY,GENDERID,Gender identity of patient, OTHER_GID, Different/other gender identity  ,radio
FULLSURVEY,BRTHDAT,Date of birth,,[Date of birth],Date Box
FULLSURVEY,AGE_INITL,Age (in years) at initial symptoms of COVID-19 illness,,[Age (in years) at initial symptoms of COVID-19 illness],Number Box (Integer)
FULLSURVEY,AGE_ASYM,Age (in years) at asymptomatic SARS-CoV-2 infection,,[Age (in years) at asymptomatic SARS-CoV-2 infection],Number Box (Integer)
FULLSURVEY,ASYMDT_COVID_MM,Month,UNK, UNK ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, JAN, January ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, FEB, February ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, MAR, March ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, APR, April ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, MAY, May ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, JUN, June ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, JUL, July ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, AUG, August ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, SEP, September ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, OCT, October ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, NOV, November ,select
FULLSURVEY,ASYMDT_COVID_MM,Month, DEC, December  ,select
FULLSURVEY,ASYMDT_COVID__YYYY,Year,2019,2019,radio
FULLSURVEY,ASYMDT_COVID__YYYY,Year,2020,2020,radio
FULLSURVEY,COVSMPDT,Date of initial symptoms of COVID-19 illness,,[Date of initial symptoms of COVID-19 illness],Date Box
FULLSURVEY,COVIDXDT,Date of diagnosis of COVID-19 illness,,[Date of diagnosis of COVID-19 illness],Date Box
FULLSURVEY,covid_infection___1,Infection Acquisition: In the 14 days before onset of illness did the patient have any of the following? (Check all that apply),1, History of travel to an area with documented cases of COVID-19 infection ,checkbox
FULLSURVEY,covid_infection___ 2,Infection Acquisition: In the 14 days before onset of illness did the patient have any of the following? (Check all that apply),1, Close contact with a confirmed or probable case of COVID-19 infection ,checkbox
FULLSURVEY,covid_infection___ 3,Infection Acquisition: In the 14 days before onset of illness did the patient have any of the following? (Check all that apply),1, Presence in a healthcare facility where COVID-19 infections have been managed ,checkbox
FULLSURVEY,covid_infection___ 4,Infection Acquisition: In the 14 days before onset of illness did the patient have any of the following? (Check all that apply),1, None of the above (community acquired) ,checkbox
FULLSURVEY,covid_infection___ 99,Infection Acquisition: In the 14 days before onset of illness did the patient have any of the following? (Check all that apply),1, Unknown ,checkbox
FULLSURVEY,covid_infection___ 98,Infection Acquisition: In the 14 days before onset of illness did the patient have any of the following? (Check all that apply),1, Other  ,checkbox
FULLSURVEY,covid_inf_spy,"COVID-19 other infection acquisition, please specify. Please DO NOT include any patient or family names or other direct identifiers (may include dates)",,"[COVID-19 other infection acquisition, please specify. Please DO NOT include any patient or family names or other direct identifiers (may include dates)]",notes
